Average number of iterations: 118543.763
Median of last 9 normalized drift values: 5.0614684980274447E-5
0 => drift 0.6612104436298347, normalized 8.265130545372934E-4
473 => drift 0.0658103813559322, normalized 2.0125498885606178E-4
474 => drift 0.06290156772038036, normalized 1.9294959423429557E-4
475 => drift 0.06358201519491842, normalized 1.9563696983051823E-4
476 => drift 0.06312250206179026, normalized 1.9482253722774773E-4
477 => drift 0.06264236902050115, normalized 1.9393922297368776E-4
478 => drift 0.05992914189635501, normalized 1.861153475042081E-4
479 => drift 0.060869041161935755, normalized 1.8962318118983103E-4
480 => drift 0.06212739253216191, normalized 1.9414810166300597E-4
481 => drift 0.056069557462936126, normalized 1.7576663781484678E-4
482 => drift 0.05876216968011127, normalized 1.8478669710726814E-4
483 => drift 0.05858657662460755, normalized 1.848156991312541E-4
484 => drift 0.0559560590456574, normalized 1.770761362204348E-4
485 => drift 0.05612130707251567, normalized 1.7816287959528785E-4
486 => drift 0.05563616071428571, normalized 1.7718522520473155E-4
487 => drift 0.05315133653895869, normalized 1.6981257680178494E-4
488 => drift 0.05344178175664611, normalized 1.712877620405324E-4
489 => drift 0.05424896399547925, normalized 1.7443396783112299E-4
490 => drift 0.05580457194083371, normalized 1.8001474819623775E-4
491 => drift 0.052220671113179254, normalized 1.689989356413568E-4
492 => drift 0.052392165257411964, normalized 1.7010443265393495E-4
493 => drift 0.05107757532932923, normalized 1.6637646687077924E-4
494 => drift 0.054252199413489736, normalized 1.7729476932512985E-4
495 => drift 0.054258467609339035, normalized 1.77896615112587E-4
496 => drift 0.050540240331212766, normalized 1.662507905631999E-4
497 => drift 0.04718223727537868, normalized 1.5571695470422006E-4
498 => drift 0.049575703439035286, normalized 1.641579584074016E-4
499 => drift 0.04928631819764261, normalized 1.6374192092240072E-4
500 => drift 0.048086594185545284, normalized 1.6028864728515096E-4
501 => drift 0.0479847364655378, normalized 1.604840684466147E-4
502 => drift 0.047032157529395095, normalized 1.578260319778359E-4
503 => drift 0.04588839941262849, normalized 1.5450639532871546E-4
504 => drift 0.0485226881667568, normalized 1.6392800056336756E-4
505 => drift 0.04570434145447884, normalized 1.5492997103213165E-4
506 => drift 0.04373404853570965, normalized 1.487552671282641E-4
507 => drift 0.04409539912788111, normalized 1.5049624275727342E-4
508 => drift 0.040333511315562495, normalized 1.381284634094606E-4
509 => drift 0.04242298945627455, normalized 1.4578346892190567E-4
510 => drift 0.04349898184654045, normalized 1.4999648912600153E-4
511 => drift 0.041395524581216675, normalized 1.4323710927756635E-4
512 => drift 0.040983606557377046, normalized 1.4230418943533696E-4
513 => drift 0.041454635720491496, normalized 1.4444123944422124E-4
514 => drift 0.040257780315699314, normalized 1.407614696353123E-4
515 => drift 0.04240731335703403, normalized 1.4879759072643518E-4
516 => drift 0.04143565800992122, normalized 1.4590020426028598E-4
517 => drift 0.04090062363327124, normalized 1.4452517184901497E-4
518 => drift 0.03923722828219415, normalized 1.3913910738366718E-4
519 => drift 0.038681335769544765, normalized 1.3765599917987462E-4
520 => drift 0.036207147007553744, normalized 1.2931123931269193E-4
521 => drift 0.0370207139709123, normalized 1.326907310785387E-4
522 => drift 0.03803930600337786, normalized 1.368320359833736E-4
523 => drift 0.03637360628769878, normalized 1.3131265807833493E-4
524 => drift 0.03697253365262509, normalized 1.3395845526313437E-4
525 => drift 0.037430275052894785, normalized 1.3611009110143558E-4
526 => drift 0.03575286238928494, normalized 1.3048489923096694E-4
527 => drift 0.03587962962962963, normalized 1.314272147605481E-4
528 => drift 0.03685710111046172, normalized 1.355040482002269E-4
529 => drift 0.03499556344276841, normalized 1.2913492045301997E-4
530 => drift 0.032505525939409696, normalized 1.203908368126285E-4
531 => drift 0.036853321575543795, normalized 1.370011954481182E-4
532 => drift 0.03389772532922866, normalized 1.2648404973592784E-4
533 => drift 0.031087599190913334, normalized 1.16432955771211E-4
534 => drift 0.03457975986277873, normalized 1.2999909722849148E-4
535 => drift 0.03265578140619793, normalized 1.2322936379697332E-4
536 => drift 0.03316651947797076, normalized 1.2563075559837407E-4
537 => drift 0.031315698641312874, normalized 1.1907109749548621E-4
538 => drift 0.03066325286515484, normalized 1.1703531627921693E-4
539 => drift 0.033196131579827995, normalized 1.2718824360087355E-4
540 => drift 0.03259216105123475, normalized 1.253544655816721E-4
541 => drift 0.03254437869822485, normalized 1.2565397180781796E-4
542 => drift 0.03111014420686226, normalized 1.205819542901638E-4
543 => drift 0.03018309263399601, normalized 1.174439402101012E-4
544 => drift 0.03081938976377953, normalized 1.2038824126476378E-4
