Average number of iterations: 159899.421
Median of last 9 normalized drift values: 4.004471072041356E-5
0 => drift 1.178595096090126, normalized 0.0014732438701126574
411 => drift 0.038781702193869616, normalized 9.96958925292278E-5
412 => drift 0.040265180786594544, normalized 1.0377623914070759E-4
413 => drift 0.0402534773424734, normalized 1.0401415333972454E-4
414 => drift 0.04207561662541606, normalized 1.0900418814874627E-4
415 => drift 0.041818105861219035, normalized 1.086184567823871E-4
416 => drift 0.03848986394821505, normalized 1.0023402069847668E-4
417 => drift 0.038451359219630235, normalized 1.0039519378493534E-4
418 => drift 0.04135587601524946, normalized 1.0826145553730226E-4
419 => drift 0.04140641158221303, normalized 1.0867824562260638E-4
420 => drift 0.04053887542613053, normalized 1.0668125112139613E-4
421 => drift 0.03631839001695099, normalized 9.582688658826118E-5
422 => drift 0.03860076972907061, normalized 1.0211843843669473E-4
423 => drift 0.037393529658912954, normalized 9.918708132337654E-5
424 => drift 0.03801434503586259, normalized 1.0110198147835794E-4
425 => drift 0.03697521680757647, normalized 9.860057815353725E-5
426 => drift 0.03919929958611907, normalized 1.0481096146021142E-4
427 => drift 0.036165306197152164, normalized 9.695792546153395E-5
428 => drift 0.03653331404181437, normalized 9.820783344573754E-5
429 => drift 0.034286309792614725, normalized 9.24159293601475E-5
430 => drift 0.03451441784548422, normalized 9.32822103932006E-5
431 => drift 0.035467066295582675, normalized 9.611671082813733E-5
432 => drift 0.03519413196036252, normalized 9.563622815315902E-5
433 => drift 0.03423651211261831, normalized 9.328749894446405E-5
434 => drift 0.03344606019614474, normalized 9.1382678131543E-5
435 => drift 0.03750367322950338, normalized 1.0274978966987229E-4
436 => drift 0.035283687943262414, normalized 9.69332086353363E-5
437 => drift 0.03216015498869874, normalized 8.859546828842627E-5
438 => drift 0.03421106487482093, normalized 9.450570407409097E-5
439 => drift 0.03389655528407722, normalized 9.389627502514466E-5
440 => drift 0.03180698217657035, normalized 8.835272826825099E-5
441 => drift 0.0322220093249026, normalized 8.975490062646964E-5
442 => drift 0.03242398593658441, normalized 9.056979311895087E-5
443 => drift 0.03303411131059246, normalized 9.25325246795307E-5
444 => drift 0.033515358361774744, normalized 9.414426506116502E-5
445 => drift 0.03156934880357199, normalized 8.89277431086535E-5
446 => drift 0.031779728145496025, normalized 8.977324334885883E-5
447 => drift 0.03155146614027826, normalized 8.938092391013671E-5
448 => drift 0.034330123331643855, normalized 9.752875946489732E-5
449 => drift 0.03191557199336819, normalized 9.09275555366615E-5
450 => drift 0.031436794332521584, normalized 8.98194123786331E-5
451 => drift 0.029695000149071286, normalized 8.508596031252517E-5
452 => drift 0.028561723327766297, normalized 8.207391760852384E-5
453 => drift 0.03256760686246002, normalized 9.38547748197695E-5
454 => drift 0.03189751801441153, normalized 9.21893584231547E-5
455 => drift 0.0296256234601286, normalized 8.587137234819884E-5
456 => drift 0.028684843392344915, normalized 8.338617265216545E-5
457 => drift 0.029466573491730725, normalized 8.590837752691173E-5
458 => drift 0.02951291925100679, normalized 8.629508552925962E-5
459 => drift 0.029574751815083716, normalized 8.672947746358861E-5
460 => drift 0.02892907617317066, normalized 8.50855181563843E-5
461 => drift 0.029179509760751503, normalized 8.607525003171535E-5
462 => drift 0.026632780028062374, normalized 7.879520718361649E-5
463 => drift 0.027453825121365995, normalized 8.146535644322253E-5
464 => drift 0.028868660598179455, normalized 8.591863273267695E-5
465 => drift 0.027206280454791554, normalized 8.121277747698971E-5
466 => drift 0.026616974598895143, normalized 7.969154071525493E-5
467 => drift 0.027991447057843438, normalized 8.405839957310342E-5
468 => drift 0.02745043283998883, normalized 8.268202662647238E-5
469 => drift 0.027254747907127955, normalized 8.234062811821135E-5
470 => drift 0.025703699891936396, normalized 7.788999967253453E-5
471 => drift 0.026617187708572496, normalized 8.090330610508358E-5
472 => drift 0.02832989340948288, normalized 8.637162624842342E-5
473 => drift 0.025780504782283636, normalized 7.8839464166005E-5
474 => drift 0.024930539911391453, normalized 7.647404880794925E-5
475 => drift 0.026956778048715133, normalized 8.294393245758503E-5
476 => drift 0.02592161428017074, normalized 8.000498234620598E-5
477 => drift 0.02796810064023363, normalized 8.658854687378832E-5
478 => drift 0.025823962776269874, normalized 8.01986421623288E-5
479 => drift 0.025534533148746347, normalized 7.95468322390852E-5
480 => drift 0.025509814404643703, normalized 7.971817001451157E-5
481 => drift 0.02360980207351555, normalized 7.401191872575408E-5
482 => drift 0.024475011013754957, normalized 7.6965443439481E-5
483 => drift 0.02645686091478864, normalized 8.346012906873388E-5
484 => drift 0.023458288595303675, normalized 7.423509049146733E-5
485 => drift 0.024600819209732408, normalized 7.809783876105526E-5
486 => drift 0.024588154540105902, normalized 7.83062246500188E-5
487 => drift 0.02407202349429493, normalized 7.690742330445665E-5
488 => drift 0.023278256366803182, normalized 7.460979604744609E-5
489 => drift 0.02366361836523051, normalized 7.608880503289554E-5
490 => drift 0.022950225424228008, normalized 7.403298523944519E-5
491 => drift 0.02202320103115694, normalized 7.127249524646259E-5
492 => drift 0.02260901179304233, normalized 7.340588244494263E-5
493 => drift 0.023299660164796798, normalized 7.589465851725341E-5
494 => drift 0.022951120069632142, normalized 7.500366035827498E-5
495 => drift 0.02227042014176151, normalized 7.301777095659512E-5
496 => drift 0.022673274047926142, normalized 7.458313831554652E-5
497 => drift 0.022363784223366767, normalized 7.380786872398273E-5
498 => drift 0.023084636069459003, normalized 7.643919228297683E-5
499 => drift 0.022442214656871528, normalized 7.45588526806363E-5
500 => drift 0.02237282050131275, normalized 7.457606833770916E-5
501 => drift 0.021482277121374866, normalized 7.184708067349454E-5
502 => drift 0.020675911317777962, normalized 6.938225274422135E-5
503 => drift 0.020854208416833667, normalized 7.021618995566892E-5
504 => drift 0.021452670443694696, normalized 7.247523798545506E-5
505 => drift 0.01954185854292124, normalized 6.624358828108896E-5
506 => drift 0.019742167295125658, normalized 6.715022889498523E-5
507 => drift 0.02020140742538219, normalized 6.894678302178222E-5
508 => drift 0.02053534940743768, normalized 7.032653906656739E-5
509 => drift 0.02002818035426731, normalized 6.88253620421557E-5
510 => drift 0.019957689697840578, normalized 6.881961964772613E-5
511 => drift 0.019986755764252604, normalized 6.915832444378064E-5
512 => drift 0.019515896797291512, normalized 6.776353054615109E-5
513 => drift 0.01926864115534618, normalized 6.71381224924954E-5
514 => drift 0.019530720195307202, normalized 6.828923145212309E-5
515 => drift 0.017999457847655193, normalized 6.315599244791295E-5
516 => drift 0.019526430208190525, normalized 6.875503594433284E-5
517 => drift 0.02013840136395547, normalized 7.116042884789918E-5
518 => drift 0.01799086922785427, normalized 6.379740860941231E-5
519 => drift 0.017848191908342283, normalized 6.351669718271274E-5
520 => drift 0.01967732356725725, normalized 7.027615559734733E-5
521 => drift 0.018779868578255674, normalized 6.731135691131067E-5
522 => drift 0.017657549485282434, normalized 6.351636505497279E-5
523 => drift 0.01823814062614561, normalized 6.584166291027296E-5
524 => drift 0.01758464577251831, normalized 6.371248468303735E-5
525 => drift 0.017811749752859766, normalized 6.476999910130824E-5
526 => drift 0.017250964177756158, normalized 6.295972327648233E-5
527 => drift 0.01783264746227709, normalized 6.532105297537396E-5
528 => drift 0.01711366538952746, normalized 6.291788746149801E-5
529 => drift 0.01736712314392151, normalized 6.408532525432291E-5
530 => drift 0.017108318535719164, normalized 6.33641427248858E-5
531 => drift 0.017536431318584383, normalized 6.519119449287875E-5
532 => drift 0.016969245359707355, normalized 6.331807970040058E-5
533 => drift 0.01699333130225788, normalized 6.364543558898082E-5
534 => drift 0.016166018833249304, normalized 6.077450689191468E-5
535 => drift 0.01657843641613701, normalized 6.256013741938494E-5
536 => drift 0.016565224543510445, normalized 6.274706266481229E-5
537 => drift 0.01679013997357727, normalized 6.384083640143449E-5
538 => drift 0.015446849717302346, normalized 5.8957441669092926E-5
539 => drift 0.015615250218395108, normalized 5.982854489806555E-5
540 => drift 0.016682499208372916, normalized 6.416345849374198E-5
541 => drift 0.016892349356804334, normalized 6.522142608804762E-5
542 => drift 0.015258664141375571, normalized 5.914210907509911E-5
543 => drift 0.015704830925468864, normalized 6.110829153878935E-5
544 => drift 0.015398481538626052, normalized 6.0150318510258016E-5
545 => drift 0.014612312958006055, normalized 5.7303188070611984E-5
546 => drift 0.015482866043613708, normalized 6.095616552603822E-5
547 => drift 0.01540028393309055, normalized 6.0870687482571344E-5
548 => drift 0.014327221721270414, normalized 5.685405444948577E-5
549 => drift 0.014736343729656152, normalized 5.871053278747471E-5
550 => drift 0.01455828353373173, normalized 5.8233134134926924E-5
551 => drift 0.014857313165933984, normalized 5.966792436118066E-5
552 => drift 0.014774817539903874, normalized 5.957587717703175E-5
553 => drift 0.01405479413778169, normalized 5.6902000557820607E-5
554 => drift 0.0140179023813545, normalized 5.698334301363618E-5
555 => drift 0.014379385712642356, normalized 5.8691370255683085E-5
556 => drift 0.013894078410207442, normalized 5.694294430412886E-5
557 => drift 0.013971691893332585, normalized 5.749667445815878E-5
558 => drift 0.013723721260832718, normalized 5.6709591986912055E-5
559 => drift 0.014125177809388335, normalized 5.8610696304515914E-5
560 => drift 0.013568392030097654, normalized 5.653496679207356E-5
561 => drift 0.013771955042643778, normalized 5.762324285625012E-5
562 => drift 0.01359740277381583, normalized 5.713194442779761E-5
